,Unnamed: 0,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,coordinates
33,153,Callender|Tucker NHI 3,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,,"(<NA>, <NA>)"
34,154,Callender|Tucker NHI 4,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,,"(<NA>, <NA>)"
35,158,Cardella (VUP),South Boston,02127,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
36,166,Carroll (VUP),Roxbury,02125,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
37,167,Carvalho (VUP),Dorchester,02122,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"(<NA>, <NA>)"
38,168,Cary Cottage,Roxbury,02119,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,,"(<NA>, <NA>)"
39,169,Casa Familias Unidas,Roxbury,02119,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,,"(<NA>, <NA>)"
40,171,Casa Nueva Vida,Jamaica Plain,02130,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,,"(<NA>, <NA>)"
41,181,Chaisson (VUP),Dorchester,02125,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
42,196,Chestnut Avenue (p/o Self Help Apts),Jamaica Plain,02130,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"(<NA>, <NA>)"
43,212,Columbia Road/Lighthouse,Dorchester,02125,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,,"(<NA>, <NA>)"
44,221,Condor-Havre Garden Apartments,East Boston,02128,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,,"(<NA>, <NA>)"
45,235,Crawford House Apts,Roxbury,02121,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,Y,"(<NA>, <NA>)"
46,242,DaRosa (VUP),Dorchester,02122,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,"(<NA>, <NA>)"
47,246,Davis (VUP),Roxbury,02125,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"(<NA>, <NA>)"
48,248,DeMarco (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
49,251,DiGirolamo (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
50,252,Dillon (VUP),Dorchester,02122,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
51,255,Disilvio (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
52,259,Domicilia I & II,Dorchester,02122,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,Y,Y,"(<NA>, <NA>)"
53,260,Domicilia III,Jamaica Plain,02130,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,Y,"(<NA>, <NA>)"
54,270,Dumas|Mascot Neighborhood Homes,Dorchester,02124,7,3,4,2.0,1.0,1.0,5,2,3.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
55,271,Dunmore Place,Roxbury,02119,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"(38.7364948, -90.6513202)"
56,272,Dwight St Apts,South End,02118,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,,"(<NA>, <NA>)"
57,287,Elven Road,Roslindale,02131,8,3,5,0.0,0.0,0.0,8,3,5.0,Ownership/Rental,Private,,,"(42.2934019, -71.1199176)"
58,289,Epps (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
59,303,FDIC Scattered Site Condo Project,Brighton,02135,9,4,5,0.0,0.0,0.0,9,4,5.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
60,308,Fenwick Gardens - Home Again,Dorchester,02125,15,1,14,0.0,0.0,0.0,15,1,14.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
61,309,Fernald State School (689-?),Dorchester,02125,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Public,,,"(<NA>, <NA>)"
62,316,Ford (VUP),Mattapan,02126,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
63,321,Forest|Vine NHI 1,Roxbury,02119,5,2,3,0.0,0.0,0.0,5,2,3.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
64,325,Foster (VUP),Roxbury,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
65,330,Franklin Field South/Highland Pk Estates,Dorchester,02124,22,4,18,0.0,0.0,0.0,22,4,18.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
66,331,Franklin Fld South II - HOME AGAIN,Dorchester,02124,23,1,22,0.0,0.0,0.0,23,1,22.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
67,338,Friend's House,Jamaica Plain,02130,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,,"(<NA>, <NA>)"
68,344,Garrison Trotter Phase I - HOME AGAIN,Roxbury,02121,18,2,16,6.0,0.0,6.0,12,2,10.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
69,355,Gleason Street MIHI Package 2,Dorchester,02121,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,"(<NA>, <NA>)"
70,357,Glenway|Roxton NHI,Dorchester,02121,6,3,3,0.0,0.0,0.0,6,3,3.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
71,359,Gomes (VUP),Dorchester,02124,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,"(<NA>, <NA>)"
72,360,Goodale Rd. - HOME AGAIN,Mattapan,02126,10,5,5,0.0,0.0,0.0,10,5,5.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
73,375,Green (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
74,376,Green (VUP) CDFI,Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
75,379,Grubow (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
76,380,Guaetta (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
77,386,Habitat Woodbine St,Roxbury,02119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
78,394,Haraska (VUP),Dorchester,02122,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
79,397,Hargrove (VUP),Roxbury,02119,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
80,398,Harrison Commons,South End,02118,196,9,187,186.0,0.0,186.0,10,9,1.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
81,410,Hiawatha|Mattapan Neighborhood Homes,Mattapan,02126,8,2,6,2.0,1.0,1.0,6,1,5.0,Ownership,Private,,,"(<NA>, <NA>)"
82,414,Highland Park Estates - Home Again,Roxbury,02119,6,1,5,0.0,0.0,0.0,6,1,5.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
83,415,Highland Park II (Affordable),Roxbury,02119,11,1,10,3.0,0.0,3.0,8,1,7.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
84,418,Hoffman (VUP) CDFI,Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
