,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
426,Hope House II,Dorchester,02125,24,24,0,0.0,0.0,0.0,24,24,0.0,Rental,Private,,
427,Hopkins-Capen-Mountain-Fuller,Dorchester,02124,9,5,4,0.0,0.0,0.0,9,5,4.0,Ownership/Rental,Private,,
428,Horizons I,Mattapan,02126,7,7,0,1.0,1.0,0.0,6,6,0.0,Rental,Public,,
429,Howard Dacia Homes,Roxbury,02125,26,26,0,0.0,0.0,0.0,26,26,0.0,Rental,Private,,
430,Howard/Woodward/Dean,Roxbury,02125,9,0,9,0.0,0.0,0.0,9,0,9.0,Ownership,Private,,
431,Hub 25,Dorchester,02124,278,278,0,242.0,242.0,0.0,36,36,0.0,Rental,Private,,
432,Humboldt Avenue Apts,Roxbury,02119,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,
433,Humphreys St Housing Homeownership,Dorchester,02125,7,0,7,0.0,0.0,0.0,7,0,7.0,Ownership,Private,,
434,Humphreys St Housing Rental,Dorchester,02125,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,,
435,Humphreys Street Homeowner,Dorchester,02125,7,0,7,0.0,0.0,0.0,7,0,7.0,Ownership,Private,,
436,Hunt (VUP),Dorchester,02121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
437,Huntington House,Fenway,02115,88,88,0,0.0,0.0,0.0,88,88,0.0,Rental,Public,,
438,Hurley (VUP),Dorchester,02122,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
439,Hyde Square Commons,Jamaica Plain,02130,18,0,18,17.0,0.0,17.0,1,0,1.0,Ownership,Private,,
440,Hyde Square Coop,Jamaica Plain,02130,42,42,0,0.0,0.0,0.0,42,42,0.0,Cooperative,Private,,
441,Hyde/Jackson Homes,Jamaica Plain,02130,13,2,11,0.0,0.0,0.0,13,2,11.0,Ownership/Rental,Private,,
442,Hyde-Blakemore,Roslindale,02131,13,0,13,0.0,0.0,0.0,13,0,13.0,Ownership,Private,,
443,IBA SRO Collaborative,South End,02118,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,,
444,Independent Living Project,Hyde Park,02136,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
445,Indigo Block (Rental),Dorchester,02125,80,80,0,0.0,0.0,0.0,80,80,0.0,Rental,Private,,
446,Infill Apartments,Roxbury,02119,13,13,0,0.0,0.0,0.0,13,13,0.0,Rental,Private,,
447,Infill Colaborative,Roxbury,02120,4,0,4,3.0,0.0,3.0,1,0,1.0,Ownership,Private,,
448,Infill I,Dorchester,02121,48,0,48,31.0,0.0,31.0,17,0,17.0,Ownership,Private,,
449,Infill I (MHFA) ?,Dorchester,02124,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Public,,
450,Ingram (VUP),Roxbury,02121,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
451,Ink Block (Buildings 1-3),South End,02118,315,315,0,274.0,274.0,0.0,41,41,0.0,Rental,Private,,
452,Ink Block Sepia (Building 4),South End,02118,77,0,77,69.0,0.0,69.0,8,0,8.0,Ownership,Private,,
